text,label
Hello.,human
Not available now. Please leave your,machine
Hi. You've reached the Johnsons.,machine
Hello?,human
Hello?,human
And phone number after the beep.,machine
This is Henry.,human
This is Henry Peter.,human
You've reached the Morgans.,machine
Leave a message after the tone.,machine
Hi. This is Bruce. Please leave a message.,machine
Voice messaging system.,machine
Available now. Please leave your name,machine
Phone number after the beep. And then phone number after the beep. And then phone number after the beep.,machine
Hi. This is Robin Judy. We're not,machine
Please leave a,machine